"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","sale.date.d","gross.sqft","land.sqft"
"1",2,"BATHGATE","01 ONE FAMILY DWELLINGS                    ","1",3030,56,NA,"A1","412 EAST 182 STREET"," ",10457,"1","                  -  ","1","1,306","1,440",1899,1,"A1"," $178,000 ","1/19/2017",178000,2017-01-19,1440,1306
"3",2,"BATHGATE","01 ONE FAMILY DWELLINGS                    ","1",3043,55,NA,"A1","1948 BATHGATE AVENUE"," ",10457,"1","                  -  ","1","2,356","2,047",1901,1,"A1"," $220,000 ","6/22/2016",220000,2016-06-22,2047,2356
"4",2,"BATHGATE","01 ONE FAMILY DWELLINGS                    ","1",3046,52,NA,"A1","2047 BATHGATE AVENUE"," ",10457,"1","                  -  ","1","2,329","1,431",1901,1,"A1"," $273,796 ","9/21/2016",273796,2016-09-21,1431,2329
"5",2,"BATHGATE","01 ONE FAMILY DWELLINGS                    ","1",3046,52,NA,"A1","2047 BATHGATE AVENUE"," ",10457,"1","                  -  ","1","2,329","1,431",1901,1,"A1"," $231,244 ","9/21/2016",231244,2016-09-21,1431,2329
"8",2,"BATHGATE","01 ONE FAMILY DWELLINGS                    ","1",3048,28,NA,"A1","540 EAST 182 STREET"," ",10457,"1","                  -  ","1","1,209","1,048",1901,1,"A1"," $290,000 ","9/27/2016",290000,2016-09-27,1048,1209
"10",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",2900,61,NA,"S2","406 EAST TREMONT AVENUE"," ",10457,"2","1","3","1,855","4,452",1931,1,"S2"," $399,000 ","2/24/2016",399000,2016-02-24,4452,1855
"11",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",2912,117,NA,"B1","1538 WASHINGTON AVENUE"," ",10457,"2","                  -  ","2","2,000","2,400",1993,1,"B1"," $493,000 ","4/13/2016",493000,2016-04-13,2400,2000
"13",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",2929,137,NA,"B1","541 CLAREMONT PARKWAY"," ",10457,"2","                  -  ","2","3,664","2,394",1995,1,"B1"," $470,000 ","7/20/2016",470000,2016-07-20,2394,3664
"14",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3030,149,NA,"S2","2260 WEBSTER AVENUE"," ",10457,"2","1","3","1,620","3,240",1931,1,"S2"," $550,000 ","3/11/2016",550000,2016-03-11,3240,1620
"16",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3035,140,NA,"B1","1983 WASHINGTON AVENUE"," ",10457,"2","                  -  ","2","4,124","2,340",1998,1,"B1"," $445,000 ","8/30/2016",445000,2016-08-30,2340,4124
"17",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3039,6,NA,"B1","440 EAST 185 STREET"," ",10458,"2","                  -  ","2","1,500","2,400",1997,1,"B1"," $422,500 ","6/10/2016",422500,2016-06-10,2400,1500
"19",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3039,130,NA,"B1","469A EAST 184 STREET"," ",10458,"2","                  -  ","2","1,016","700",2006,1,"B1"," $518,000 ","8/3/2016",518000,2016-08-03,700,1016
"20",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3045,16,NA,"B3","2060 BATHGATE AVE"," ",10457,"2","                  -  ","2","1,429","1,872",1910,1,"B3"," $250,000 ","11/17/2016",250000,2016-11-17,1872,1429
"21",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3046,7,NA,"B2","2038 WASHINGTON AVENUE"," ",10457,"2","                  -  ","2","3,732","2,901",2000,1,"B2"," $494,000 ","9/29/2016",494000,2016-09-29,2901,3732
"23",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3047,9,NA,"B9","2122 WASHINGTON AVENUE"," ",10457,"2","                  -  ","2","1,258","2,340",1901,1,"B9"," $240,000 ","11/14/2016",240000,2016-11-14,2340,1258
"24",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3048,12,NA,"B2","2174 BATHGATE AVENUE"," ",10457,"2","                  -  ","2","4,973","4,375",1901,1,"B2"," $680,000 ","8/5/2016",680000,2016-08-05,4375,4973
"26",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3050,85,NA,"B1","2241 BATHGATE AVENUE"," ",10457,"2","                  -  ","2","1,562","2,536",2004,1,"B1"," $430,000 ","2/3/2016",430000,2016-02-03,2536,1562
"27",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3050,93,NA,"B2","2238 BASSFORD AVENUE"," ",10457,"2","                  -  ","2","1,301","2,300",1901,1,"B2"," $495,000 ","4/13/2016",495000,2016-04-13,2300,1301
"28",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3053,5,NA,"B9","509 EAST 183 STREET"," ",10458,"2","                  -  ","2","1,420","2,805",1901,1,"B9"," $165,000 ","9/2/2016",165000,2016-09-02,2805,1420
"29",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3053,5,NA,"B9","509 EAST 183 STREET"," ",10458,"2","                  -  ","2","1,420","2,805",1901,1,"B9"," $290,000 ","12/2/2016",290000,2016-12-02,2805,1420
"32",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3053,109,NA,"B3","2315 BASSFORD AVENUE"," ",10458,"2","                  -  ","2","1,202","1,966",1901,1,"B3"," $480,000 ","3/17/2016",480000,2016-03-17,1966,1202
"33",2,"BATHGATE","03 THREE FAMILY DWELLINGS                  ","1",3031,145,NA,"C0","412 E 187TH STREET"," ",10458,"3","                  -  ","3","1,784","2,302",2004,1,"C0"," $545,000 ","10/14/2016",545000,2016-10-14,2302,1784
"36",2,"BATHGATE","03 THREE FAMILY DWELLINGS                  ","1",3038,124,NA,"C0","466 EAST 183 STREET"," ",10458,"3","                  -  ","3","1,204","2,889",2004,1,"C0"," $390,000 ","6/30/2016",390000,2016-06-30,2889,1204
